Protein.Group,Genes
Q96S15;A0A3B3ISA1;A0A499FJD3,WDR24
Q96S16;Q96S16-2,JMJD8
Q96S19;A0A087WYU2,METTL26
Q96S21;Q96S21-2;H3BNV8,RAB40C
Q96S38;Q96S38-2,RPS6KC1
Q96S38;Q96S38-2;F6RJM5,RPS6KC1
Q96S44,TP53RK
Q96S44;Q5JZ02,TP53RK
Q96S52;Q96S52-2;A0A994J7M6;A0A994J801,PIGS
Q96S55;Q96S55-2,WRNIP1
Q96S59,RANBP9
Q96S59;Q6VN20;Q6VN20-3;R4GMX8,RANBP10;RANBP9
Q96S66;A0A6Q8PEZ7;A0A6Q8PG30;A0A6Q8PHQ1,CLCC1
Q96S82,UBL7
Q96S90,LYSMD1
Q96S90;Q8IV50,LYSMD1;LYSMD2
Q96S94;Q96S94-2;Q96S94-4;Q96S94-5,CCNL2
Q96S94;Q96S94-3,CCNL2
Q96S97;A0A499FIY8;C9JC07;C9JZL8,MYADM
Q96S99;K7ELB8,PLEKHF1
Q96SB3,PPP1R9B
Q96SB4;Q96SB4-3;Q96SB4-4;H3BLV9,SRPK1
Q96SB8;Q96SB8-2,SMC6
Q96SB8;Q96SB8-2;C9JMN1,SMC6
Q96SD1;A0A8V8TM57,DCLRE1C
Q96SI1;Q96SI1-2,KCTD15
Q96SI9;Q96SI9-2,STRBP
Q96SI9;Q96SI9-2;Q12906;Q12906-7;Q12906-2;Q12906-3;Q12906-4;Q12906-5;Q12906-6,ILF3;STRBP
Q96SK2;Q96SK2-2,TMEM209
Q96SL1;Q96SL1-2;Q05BS2,SLC49A4
Q96SL8,FIZ1
Q96SL8;K7EJE2,FIZ1
Q96SN8-2;A0A8I5KTP5;A0A8I5KXG0,CDK5RAP2
Q96SN8;Q96SN8-2;Q96SN8-3;A0A8I5KTP5;A0A8I5KXG0;A0A8I5QKL1,CDK5RAP2
Q96SN8;Q96SN8-2;Q96SN8-3;A0A8I5KTP5;A0A8I5KXG0;A0A8I5QKL1;Q5VU43-3;A0A8Q3SI83;A0A8Q3WM32;A0A9L9PY76;E9PS60,CDK5RAP2;PDE4DIP
Q96SN8;Q96SN8-3;A0A8I5QKL1,CDK5RAP2
Q96SQ5;Q96SQ5-2,ZNF587
Q96SQ9;Q96SQ9-2,CYP2S1
Q96ST2;Q96ST2-2;Q96ST2-3;A0A1B0GW95,IWS1
Q96ST3;A0A994J7C7,SIN3A
Q96ST8;Q96ST8-2,CEP89
Q96ST8;Q96ST8-2;K7EJF0,CEP89
Q96SU4;Q96SU4-2;Q96SU4-7;Q96SU4-6;H0YE19,OSBPL9
Q96SU4;Q96SU4-2;Q96SU4-7;Q96SU4-6;Q96SU4-3;H0YE19,OSBPL9
Q96SU4;Q96SU4-2;Q96SU4-7;Q96SU4-6;Q96SU4-3;Q96SU4-4;Q96SU4-5,OSBPL9
Q96SW2;Q96SW2-2;A0A1W2PPJ5;J3QT87,CRBN
Q96SY0;B4DJL6;B4DVT3,INTS14
Q96SZ5,ADO
Q96SZ6;Q96SZ6-3;Q96SZ6-6;Q96SZ6-2;Q96SZ6-4;H0Y721,CDK5RAP1
Q96SZ6;Q96SZ6-3;Q96SZ6-6;Q96SZ6-5;Q96SZ6-2,CDK5RAP1
Q96SZ6;Q96SZ6-3;Q96SZ6-6;Q96SZ6-5;Q96SZ6-2;Q96SZ6-4,CDK5RAP1
Q96SZ6;Q96SZ6-3;Q96SZ6-6;Q96SZ6-5;Q96SZ6-2;Q96SZ6-4;H0Y721,CDK5RAP1
Q96SZ6;Q96SZ6-3;Q96SZ6-6;Q96SZ6-5;Q96SZ6-4,CDK5RAP1
Q96T21;Q96T21-2;Q96T21-3,SECISBP2
Q96T23;Q96T23-2,RSF1
Q96T23;Q96T23-2;Q96T23-3,RSF1
Q96T37;Q96T37-2;Q96T37-3;Q96T37-4;A0A087WWP4;A0A499FJY3,RBM15
Q96T49;Q96T49-2,PPP1R16B
Q96T51,RUFY1
Q96T51;Q7L099-3;Q7L099-4;Q7L099;Q7L099-2;Q96T51-2;Q8WXA3;Q8WXA3-1;Q8WXA3-3;H0YD93,RUFY1;RUFY2;RUFY3
Q96T51;Q96T51-2,RUFY1
Q96T52;Q96T52-2,IMMP2L
Q96T58,SPEN
Q96T60;A0A0D9SFL2,PNKP
Q96T76;Q96T76-8;Q96T76-9,MMS19
Q96T88;Q96T88-2;A0A087WTW0;A0A087WVR3,UHRF1
Q96TA1;Q96TA1-2,NIBAN2
Q96TA2;Q96TA2-2,YME1L1
Q96TA2;Q96TA2-2;Q96TA2-3,YME1L1
Q96TC7,RMDN3
Q99081;Q99081-3,TCF12
Q99081;Q99081-3;P15884-6,TCF12;TCF4
Q99417;A0A087WV05,MYCBP
Q99426,TBCB
Q99426;Q99426-2;K7EP07,TBCB
Q99436,PSMB7
Q99436;Q99436-2;Q5TBG5,PSMB7
Q99439;B4DDF4;B4DUT8,CNN2
Q99442;F8WF48,SEC62
Q99447;Q99447-3,PCYT2
Q99456;A0A3B3ITG2,KRT12
Q99459,CDC5L
Q99460,PSMD1
Q99470,SDF2
Q99470;K7ELI9,SDF2
Q99471,PFDN5
Q99471;H3BPF6,PFDN5
Q99471;Q99471-2;H3BPF6,PFDN5
Q99487,PAFAH2
Q99487;Q5SY00;Q5SY01,PAFAH2
Q99496;Q99496-2,RNF2
Q99496;Q99496-2;X6RFN3,RNF2
Q99496;X6RFN3,RNF2
Q99497,PARK7
Q99501;A0A5E8,GAS2L1
Q99504;Q99504-5;Q99504-3,EYA3
Q99504;Q99504-5;Q99504-3;Q99504-4,EYA3
Q99504;Q99504-5;Q99504-3;Q99504-4;Q99504-2,EYA3
Q99504;Q99504-5;Q99504-3;Q99504-4;Q99504-2;B1APR7,EYA3
Q99519,NEU1
Q99519;E9PIF4,NEU1
Q99523,SORT1
Q99536,VAT1
Q99538;Q99538-2,LGMN
Q99538;Q99538-2;Q99538-3,LGMN
Q99538;Q99538-2;Q99538-3;G3V4E4,LGMN
Q99541,PLIN2
Q99541;Q5SYF4;Q5SYF3;Q5SYF5,PLIN2
Q99543,DNAJC2
Q99543;Q99543-2,DNAJC2
Q99547;H3BNT4,MPHOSPH6
Q99549,MPHOSPH8
Q99549;Q99549-2,MPHOSPH8
Q99550;Q99550-2;A0A8I5IG87;H0YG46;J3KNE4,MPHOSPH9
Q99551;B4DPR9,MTERF1
Q99567;A0A8V8TPS0;A0A8V8TPT0;J3KMX1,NUP88
Q99569;Q99569-2,PKP4
Q99570,PIK3R4
Q99570;D6RJ98,PIK3R4
Q99574,SERPINI1
Q99575,POP1
Q99575;E5RK39,POP1
Q99576,TSC22D3
Q99576-3,TSC22D3
Q99583,MNT
Q99583;V9GY02,MNT
Q99584,S100A13
Q99590,SCAF11
Q99594;A0A1X7SBS4;A0A7P0SNI2,TEAD3
Q99595,TIMM17A
Q99598,TSNAX
Q99598;C4P0D6;C4P0D8,TSNAX;TSNAX-DISC1
Q99611,SEPHS2
Q99613;Q99613-2,EIF3C
Q99613;Q99613-2;B5ME19,EIF3C;EIF3CL
Q99614,TTC1
Q99615;A0A6I8PS32;A0A6I8PU73;A0A6I8PUD4,DNAJC7
Q99618,CDCA3
Q99622,C12orf57
Q99623,PHB2
Q99627;Q99627-2;E9PGT6,COPS8
Q99633,PRPF18
Q99633;M0R3G1,PRPF18
Q99638,RAD9A
Q99638;F5H4F1,RAD9A
Q99640;Q99640-3;Q99640-4,PKMYT1
Q99640;Q99640-3;Q99640-4;Q99640-2;A6NHV6;B4DZM6,PKMYT1
Q99643;Q99643-3;Q99643-5,SDHC
Q99650,OSMR
Q99653,CHP1
Q99653;H0YLY7;F5GX29;H0YKE7;H0YNG9,CHP1
Q99661,KIF2C
Q99661-2,KIF2C
Q99661-2;Q99661,KIF2C
Q99661-2;Q99661;O00139;O00139-1;O00139-2;O00139-4;O00139-5;A0A6Q8PFA6;A0A6Q8PG37;A0A6Q8PGH7;A0A6Q8PH57,KIF2A;KIF2C
Q99661-2;Q99661;Q8N4N8,KIF2B;KIF2C
Q99683;A0A8V8TMH5,MAP3K5
Q99685;A0A0C4DFN3;A0A3B3ITT3,MGLL
Q99687;Q99687-2;Q99687-3;H0YNA8;H3BLU4,MEIS3
Q99698-3,LYST
Q99698-3;Q99698,LYST
Q99707;A0A7P0T9G7,MTR
Q99708;Q99708-2;I6L8A6,RBBP8
Q99714,HSD17B10
Q99714;Q99714-2,HSD17B10
Q99714;Q99714-2;A0A804HHW5,HSD17B10
Q99715;Q99715-4;D6RGG3,COL12A1
Q99717,SMAD5
Q99717;Q15797,SMAD1;SMAD5
Q99720,SIGMAR1
Q99728;Q99728-2,BARD1
Q99729-2;Q99729-3;D6R9P3;D6RBZ0;D6RD18,HNRNPAB
Q99733;Q99733-2;A0A994J3W0;C9JZI7;A0A0J9YXQ2,NAP1L4
Q99735,MGST2
Q99741,CDC6
Q99741;J3QLN7,CDC6
Q99747,NAPG
Q99747;Q99747-2,NAPG
Q99755;Q99755-2;Q99755-3;A6PW57,PIP5K1A
Q99757,TXN2
Q99759;Q99759-2;J3KRN4;J3QRB6,MAP3K3
Q99766;A0A5K1VW60,DMAC2L
Q99784,OLFM1
Q99784;Q99784-3;Q99784-5,OLFM1
Q99784;Q99784-3;Q99784-5;F5GZQ2,OLFM1
Q99797,MIPEP
Q99798;A2A274,ACO2
Q99805,TM9SF2
Q99807;H3BP28,COQ7
Q99808;Q99808-2,SLC29A1
Q99808;Q99808-2;A0A2R8YEH8;A0A2R8Y567;A0A2R8Y6D1;A0A2R8Y801;A0A2R8Y854;A0A2R8YFI6;A0A2U3TZJ7;A0A2U3TZM5;A0A2U3TZM6,SLC29A1
Q99816;F5H442,TSG101
Q99828;Q99828-2,CIB1
Q99828;Q99828-2;A0A3B3ISY8,CIB1
Q99829;B0QZ18;F2Z2V0,CPNE1
Q99832,CCT7
Q99832;Q99832-3,CCT7
Q99832;Q99832-3;Q99832-4,CCT7
Q99836;Q99836-5;Q99836-6,MYD88
Q99848;H7C2Q8,EBNA1BP2
Q99856,ARID3A
Q99856;K7EJ04,ARID3A
Q99865;Q9BPZ2,SPIN2A;SPIN2B
Q99871;Q99871-2;Q99871-3,HAUS7
Q99873;Q99873-2;Q99873-3;E9PKG1,PRMT1
Q99933;Q99933-3;Q99933-4;J3QTA2,BAG1
Q99941;Q99941-2,ATF6B
Q99941;Q99941-2;H0Y7D7,ATF6B
Q99942;A0A140TA09,RNF5
Q99943,AGPAT1
Q99952;Q99952-2;E7EMB8,PTPN18
Q99956,DUSP9
Q99959;Q99959-2,PKP2
Q99961;M0R0I3,SH3GL1
Q99961;Q99961-2;M0R0I3,SH3GL1
Q99961;Q99961-2;Q99961-3,SH3GL1
Q99961;Q99961-3;M0R0I3,SH3GL1
Q99962,SH3GL2
Q99962;Q99961;Q99961-2;M0R0I3,SH3GL1;SH3GL2
Q99962;Q99961;Q99961-2;Q99961-3;M0R0I3,SH3GL1;SH3GL2
Q99962;Q99961;Q99961-3;M0R0I3,SH3GL1;SH3GL2
Q99973;Q99973-2;G3V5X7,TEP1
Q99985,SEMA3C
Q99986;A0A7P0T824;A0A7P0T838;A0A7P0T952;A0A7P0T9T1;A0A7P0TA16;A0A7P0TA65;A0A7P0TBE4;H0YJF7,VRK1
Q99988,GDF15
Q9BPW8,NIPSNAP1
Q9BPX3,NCAPG
Q9BPX3;H0Y9Z8,NCAPG
Q9BPX5,ARPC5L
Q9BPX6;Q9BPX6-3;A0A286YF11;A0A0U1RRK1,MICU1
Q9BPX7;Q9BPX7-2,C7orf25
Q9BPY3;E9PMJ2;J3KP39,FAM118B
Q9BPZ3;D6RA77,PAIP2
Q9BPZ7;Q9BPZ7-2,MAPKAP1
Q9BQ04,RBM4B
Q9BQ04;Q9BWF3,RBM4;RBM4B
Q9BQ04;Q9BWF3;Q96PK6-5,RBM14;RBM4;RBM4B
Q9BQ24;Q9BQ24-2,ZFYVE21
Q9BQ39,DDX50
Q9BQ39;A0A8I5KNN2;Q9NR30,DDX21;DDX50
Q9BQ48;M0R226,MRPL34
Q9BQ49;M0R0R3;B7WNH4;M0R2G5,SMIM7
Q9BQ52,ELAC2
Q9BQ52-2;Q9BQ52,ELAC2
Q9BQ61,TRIR
Q9BQ65;A0A8V8TM89;H3BNM8;H3BTT8,USB1
Q9BQ67,GRWD1
Q9BQ67;M0QX71,GRWD1
Q9BQ69,MACROD1
Q9BQ69;A0A6Q8PH91,MACROD1
Q9BQ70,TCF25
Q9BQ75;Q9BQ75-2;C9J384,CMSS1
Q9BQ89;V9GZ26,FAM110A
Q9BQ90,KLHDC3
Q9BQ90;F8W6A4,KLHDC3
Q9BQ95,ECSIT
Q9BQA1;H0Y711,WDR77
Q9BQA1;Q9BQA1-2,WDR77
Q9BQA1;Q9BQA1-2;H0Y711,WDR77
Q9BQA5,HINFP
Q9BQA9;Q9BQA9-2;A0A8V8TM96;A0A8V8TNQ9;J3KSJ5;J3QKS6;J3QLB7;J3QRG5;J3QRZ2,CYBC1
Q9BQC3,DPH2
Q9BQC6,MRPL57
Q9BQD3;M0QX74;M0QXN9;M0QXP3;M0QY77;M0R0B4;M0R228;M0R2G3,KXD1
Q9BQE4;A0A182DWI4;E9PN30,SELENOS
Q9BQE5;J3KQL8,APOL2
Q9BQE9;F2Z3H6,BCL7B
Q9BQF6;Q9BQF6-5;Q9BQF6-2,SENP7
Q9BQF6;Q9BQF6-5;Q9BQF6-2;Q9BQF6-4;J3QT09,SENP7
Q9BQG0;Q9BQG0-2,MYBBP1A
Q9BQG0;Q9BQG0-2;I3L1L3,MYBBP1A
Q9BQG2;Q9BQG2-2,NUDT12
Q9BQI0;Q9BQI0-3,AIF1L
Q9BQI3;Q9BQI3-2,EIF2AK1
Q9BQI6,SLF1
Q9BQI6;Q9BQI6-2;D6RED9;H0YBU1,SLF1
Q9BQK8;Q9BQK8-2,LPIN3
Q9BQK8;Q9BQK8-2;H0Y5E1,LPIN3
Q9BQL6,FERMT1
Q9BQL6;Q9BQL6-2,FERMT1
Q9BQL6;Q9BQL6-2;Q9BQL6-4,FERMT1
Q9BQL6;Q9BQL6-2;Q9BQL6-4;A0A8V8TN73,FERMT1
Q9BQL6;Q9BQL6-2;Q9BQL6-4;Q96AC1;Q96AC1-3;A0A8V8TN73,FERMT1;FERMT2
Q9BQP7,MGME1
Q9BQQ3-3;Q9BQQ3;A0A8Q3SI07;A0A8Q3SIN9;A0A8Q3WKF9;A0A8Q3WKH3;A0A8Q3WLK9;C9J0V5;C9J9V9,GORASP1
Q9BQQ3;A0A8Q3SI07;A0A8Q3SIN9;A0A8Q3WKF9;A0A8Q3WKH3;A0A8Q3WLK9;C9J0V5;C9J9V9,GORASP1
Q9BQS8;Q9BQS8-4,FYCO1
Q9BQS8;Q9BQS8-4;C9J2W6;H7BZ74,FYCO1
Q9BQT8;Q9BQT8-2,SLC25A21
Q9BR39,JPH2
Q9BR61,ACBD6
Q9BR61;A0A2R8Y544,ACBD6
Q9BR76,CORO1B
Q9BR76;A0A087WW53;F5H390,CORO1B
Q9BR77;Q9BR77-2,CCDC77
Q9BR77;Q9BR77-2;F5H0W5,CCDC77
Q9BRA0;Q9BRA0-2;A0A0B4J297;I3L310;I3L3Z2;I3L4V0,NAA38
Q9BRA2,TXNDC17
Q9BRB3-2,PIGQ
Q9BRD0;H7C462,BUD13
Q9BRD0;Q9BRD0-2,BUD13
Q9BRF8,CPPED1
Q9BRG1,VPS25
Q9BRG2-2;Q9BRG2,SH2D3A
Q9BRG2;M0QZQ6,SH2D3A
Q9BRJ2;A0A087X2D5,MRPL45
Q9BRJ6;C9JQV0,C7orf50
Q9BRJ7,NUDT16L1
Q9BRK4,LZTS2
Q9BRK5;A0A5F9UP49,SDF4
Q9BRL6;Q9BRL6-2,SRSF8
Q9BRL6;Q9BRL6-2;Q01130;Q01130-2;J3KP15;J3QL05,SRSF2;SRSF8
Q9BRN9;H0YNS4,TM2D3
Q9BRP1,PDCD2L
Q9BRP1;U3KQA4,PDCD2L
Q9BRP4,PAAF1
Q9BRP4;Q9BRP4-2;F5H0C4,PAAF1
Q9BRP8,PYM1
Q9BRQ0;Q5T171,PYGO2
Q9BRQ3;Q9BRQ3-3;Q9BRQ3-2;F5H1N0;G3V1M6;J3KQJ3,NUDT22
Q9BRQ6;J3QTA6,CHCHD6
Q9BRQ8,AIFM2
Q9BRR3,PGAP4
Q9BRR6;Q9BRR6-2;H3BRS6,ADPGK
Q9BRR6;Q9BRR6-2;Q9BRR6-3,ADPGK
Q9BRR8,GPATCH1
Q9BRS2,RIOK1
Q9BRS2;E9PFQ8,RIOK1
Q9BRT2;V5IRT4,UQCC2
Q9BRT3;J3KTI2,MIEN1
Q9BRT6,LLPH
Q9BRT8;Q5RIA9-3;A0A087WWG3,ZNG1A;ZNG1C;ZNG1E
Q9BRT8;Q8IUF1,ZNG1A;ZNG1B
Q9BRT8;Q8IUF1;Q5RIA9-3;A0A087WWG3,ZNG1A;ZNG1B;ZNG1C;ZNG1E
Q9BRT9,GINS4
Q9BRT9;E5RFF9,GINS4
Q9BRU9,UTP23
Q9BRU9;Q9BRU9-2;E5RGP0;G3XAM4,UTP23
Q9BRV8;Q9BRV8-2,SIKE1
Q9BRX2,PELO
Q9BRX5,GINS3
Q9BRX8;Q9BRX8-2,PRXL2A
Q9BRX9,WDR83
Q9BRZ2,TRIM56
Q9BRZ2;Q9BRZ2-2;C9JI91,TRIM56
Q9BS16;D6RHD3,CENPK
Q9BS18,ANAPC13
Q9BS34,ZNF670
Q9BS40;H7C5A4,LXN
Q9BSA9,TMEM175
Q9BSB4;F8VQD9,ATG101
Q9BSC4,NOL10
Q9BSD7,NTPCR
Q9BSD7;Q5TDF0,NTPCR
Q9BSE4,HERPUD2
Q9BSE5,AGMAT
Q9BSF0;C9JS57;H7BZ15,C2orf88
Q9BSF4,TIMM29
Q9BSF8;Q9BSF8-2;B7Z503,BTBD10
Q9BSG0,PRADC1
Q9BSH4;A0A804HJB7,TACO1
Q9BSH5,HDHD3
Q9BSI4;Q9BSI4-2;A0A8V8TQE2;A0A8V8TQ07;B4DFJ1,TINF2
Q9BSJ2;Q9BSJ2-4;A0A804HJ08,TUBGCP2
Q9BSJ5;Q9BSJ5-3;Q9BSJ5-2;I3L072,C17orf80
Q9BSJ8-2,ESYT1
Q9BSJ8-2;Q9BSJ8,ESYT1
Q9BSJ8-2;Q9BSJ8;F8VZB1,ESYT1
Q9BSK2,SLC25A33
Q9BSK4,FEM1A
Q9BSL1,UBAC1
Q9BSM1;Q9BSM1-3,PCGF1
Q9BSQ5;Q9BSQ5-2;A0A0A0MT72,CCM2
Q9BSR8,YIPF4
Q9BSR8;H7C0D5,YIPF4
Q9BST9-2;Q9BST9;Q9BST9-3;A0A1W2PPZ2,RTKN
Q9BSU1,PHAF1
Q9BSU1;H3BSG0,PHAF1
Q9BSU1;Q9BSU1-2;H3BSG0,PHAF1
Q9BSV6;A0A590UJ73,TSEN34
Q9BSY4,CHCHD5
Q9BSY4;Q9BSY4-2,CHCHD5
Q9BSY4;Q9BSY4-2;F8WC14,CHCHD5
Q9BT09,CNPY3
Q9BT17,MTG1
Q9BT22,ALG1
Q9BT25;Q9BT25-2;Q9BT25-3,HAUS8
Q9BT30,ALKBH7
Q9BT30;M0QZI0,ALKBH7
Q9BT40;Q9BT40-2,INPP5K
Q9BT67,NDFIP1
Q9BT73,PSMG3
Q9BT78,COPS4
Q9BT92,TCHP
Q9BT92;F5GWH6,TCHP
Q9BTA9-5,WAC
Q9BTA9;Q9BTA9-2;A0A8V8TQV5,WAC
Q9BTA9;Q9BTA9-2;A0A8V8TQV5;Q9BTA9-5,WAC
Q9BTC0,DIDO1
Q9BTC8;Q9BTC8-2,MTA3
Q9BTC8;Q9BTC8-2;E7EQY4;E7EV10,MTA3
Q9BTC8;Q9BTC8-2;Q13330;Q13330-3;E7ESY4;E7EQY4;E7EV10,MTA1;MTA3
Q9BTD8;K7EP90,RBM42
Q9BTE0-2;J3QLF4;J3QRL7,NAT9
Q9BTE1;Q9BTE1-2;H3BR94,DCTN5
Q9BTE3,MCMBP
Q9BTE3-2,MCMBP
Q9BTE3;Q9BTE3-2,MCMBP
Q9BTE6;Q9BTE6-2;Q9BTE6-3;B3KSP9;C9J5N1,AARSD1;PTGES3L-AARSD1
Q9BTE7,DCUN1D5
Q9BTE7;Q92564;Q92564-3,DCUN1D4;DCUN1D5
Q9BTF0,THUMPD2
Q9BTF0;Q9BTF0-2,THUMPD2
Q9BTF0;Q9BTF0-2;H0YE26,THUMPD2
Q9BTK6;H3BTX0,PAGR1
Q9BTL3;A0A3B3IU46,RAMAC;RAMACL
Q9BTL4,IER2
Q9BTM9;Q9BTM9-2;Q9BTM9-3,URM1
Q9BTP7,FAAP24
Q9BTP7;K7EKQ4,FAAP24
Q9BTT0,ANP32E
Q9BTT0-3,ANP32E
Q9BTT0-3;Q9BTT0,ANP32E
Q9BTT4,MED10
Q9BTT6,LRRC1
Q9BTT6;Q14160-3;A0A0G2JPP5;Q9BTT6-2;Q5T0G3,LRRC1;SCRIB
Q9BTT6;Q9BTT6-2;Q5T0G3,LRRC1
Q9BTU6,PI4K2A
Q9BTU6;E9PAM4,PI4K2A
Q9BTV4,TMEM43
Q9BTV4;V9GY05,TMEM43
Q9BTV6,DPH7
Q9BTW9;A0A804HHW7;A0A804HIN6;A0A804HIU1;A0A804HJ32;A0A804HJY5;A0A804HKT8;A0A804HL62;A0A804HLI2;J3KR97,TBCD
Q9BTW9;A0A804HHW7;A0A804HIN6;A0A804HIU1;A0A804HJ32;A0A804HJY5;A0A804HKT8;A0A804HL62;A0A804HLI2;J3KR97;I3L131;I3L3H4;I3L4D2,TBCD
Q9BTX1;Q9BTX1-2;Q9BTX1-5;Q9BTX1-6,NDC1
Q9BTX3;H3BMW4,TMEM208
Q9BTX7,TTPAL
Q9BTX7;Q5QPC2,TTPAL
Q9BTY2,FUCA2
Q9BTY2;Q7Z6V2,FUCA2
Q9BTY7,HGH1
Q9BTY7;E9PIX0,HGH1
Q9BTZ2;Q9BTZ2-4;Q9BTZ2-8,DHRS4
Q9BU02,THTPA
Q9BU19;Q9BU19-2;Q9BU19-5,ZNF692
Q9BU23-2;Q9BU23;Q9BU23-3,LMF2
Q9BU61,NDUFAF3
Q9BU61-2,NDUFAF3
Q9BU61;Q9BU61-2,NDUFAF3
Q9BU64,CENPO
Q9BU70;Q5T114,TRMO
Q9BU76;Q9BU76-2;Q9BU76-3;Q9BU76-4,MMTAG2
Q9BU89,DOHH
Q9BU89;A0A5F9ZGM7,DOHH
Q9BUA3,SPINDOC
Q9BUA3;H0YGY5,SPINDOC
Q9BUB4,ADAT1
Q9BUB4;Q9BUB4-2,ADAT1
Q9BUB5;Q9BUB5-2;Q9BUB5-3;A0A499FIS5;A0A499FJN1;A0A499FJS1,MKNK1
Q9BUB7;Q9BUB7-2,TMEM70
Q9BUB7;Q9BUB7-3;D4PHA6,TMEM70
Q9BUE0,MED18
Q9BUE6;Q9BUE6-2,ISCA1
Q9BUF5,TUBB6
Q9BUF5;P04350;K7ES63,TUBB4A;TUBB6
Q9BUF5;Q13509,TUBB3;TUBB6
Q9BUG6;Q9BUG6-2;A0A0C4DGQ1,ZSCAN5A
Q9BUH6,PAXX
Q9BUH8;A0A1B0GTT1;A0A1B0GVM0;G3V3A2;G3V3R5,BEGAIN
Q9BUI4,POLR3C
Q9BUJ0,ABHD14A
Q9BUJ0;A0A1B0GW23,ABHD14A;ABHD14A-ACY1
Q9BUJ2;Q9BUJ2-2,HNRNPUL1
Q9BUK0;Q9BUK0-2;Q9BUK0-4;J3KPV1;E5RFN2;E5RHM5;E5RII1;E5RJ08,CHCHD7
Q9BUK6;Q9BUK6-2,MSTO1
Q9BUK6;Q9BUK6-6,MSTO1
Q9BUK6;Q9BUK6-6;Q9BUK6-2,MSTO1
Q9BUL5,PHF23
Q9BUL8,PDCD10
Q9BUL9,RPP25
Q9BUM1;A0A8Q3SIG5;A0A8Q3WL84;K7ESE6,G6PC3
Q9BUN8;Q9BUN8-2;B4E1G1,DERL1
Q9BUP3-3;Q9BUP3,HTATIP2
Q9BUP3-3;Q9BUP3;E9PI87,HTATIP2
Q9BUQ8;A0A8V8TR86,DDX23
Q9BUR4,WRAP53
Q9BUR5;H7C1U8,APOO
Q9BUT1;Q9BUT1-2,BDH2
Q9BUT1;Q9BUT1-2;Q9BUT1-3,BDH2
Q9BUT1;Q9BUT1-3,BDH2
Q9BUU2;H3BTF5,METTL22
Q9BUV8-5;Q9BUV8;Q9BUV8-2;Q9BUV8-3;Q9BUV8-4,RAB5IF
Q9BUW7,BBLN
Q9BUX1,CHAC1
Q9BUZ4,TRAF4
Q9BV10,ALG12
Q9BV19,C1orf50
Q9BV19;A0A8I5QKT5;B4DSR2;R4GMT4,C1orf50
Q9BV20,MRI1
Q9BV23,ABHD6
Q9BV23;C9JNE7,ABHD6
Q9BV29;Q9BV29-2,CCDC32
Q9BV38;U3KQC1,WDR18
Q9BV40,VAMP8
Q9BV44,THUMPD3
Q9BV44;H7C3J3,THUMPD3
Q9BV57,ADI1
Q9BV57;Q9BV57-2,ADI1
Q9BV57;Q9BV57-2;A0A0G2JQN5,ADI1
Q9BV68;K7EIY6,RNF126
Q9BV73;A0A9L9PXZ7,CEP250
Q9BV79,MECR
Q9BV79;Q9BV79-2,MECR
Q9BV79;Q9BV79-2;H3BM30,MECR
Q9BV81,EMC6
Q9BV86,NTMT1
Q9BV86;Q9BV86-2,NTMT1
Q9BV86;Q9BV86-2;S4R344,NTMT1
Q9BV94;Q9BV94-2,EDEM2
Q9BV97;A0A8I5KWK6,ZNF747
Q9BVA0,KATNB1
Q9BVA1,TUBB2B
Q9BVA1;P07437;Q13885;Q5JP53;Q13509,TUBB;TUBB2A;TUBB2B;TUBB3
Q9BVA1;P68371;P07437;P04350;Q13885;Q5JP53,TUBB;TUBB2A;TUBB2B;TUBB4A;TUBB4B
Q9BVA1;P68371;P07437;P04350;Q13885;Q5JP53;Q13509,TUBB;TUBB2A;TUBB2B;TUBB3;TUBB4A;TUBB4B
Q9BVA1;P68371;P07437;P04350;Q13885;Q5JP53;Q3ZCM7,TUBB;TUBB2A;TUBB2B;TUBB4A;TUBB4B;TUBB8
Q9BVA1;P68371;P07437;Q13885;Q5JP53,TUBB;TUBB2A;TUBB2B;TUBB4B
Q9BVA1;P68371;P07437;Q13885;Q5JP53;Q13509,TUBB;TUBB2A;TUBB2B;TUBB3;TUBB4B
Q9BVA1;P68371;Q13885,TUBB2A;TUBB2B;TUBB4B
Q9BVA1;Q13885,TUBB2A;TUBB2B
Q9BVA1;Q9BUF5;P68371;P07437;P04350;Q13885;Q5JP53;Q13509,TUBB;TUBB2A;TUBB2B;TUBB3;TUBB4A;TUBB4B;TUBB6
Q9BVA1;Q9BUF5;P68371;P07437;P04350;Q13885;Q5JP53;Q13509;Q3ZCM7,TUBB;TUBB2A;TUBB2B;TUBB3;TUBB4A;TUBB4B;TUBB6;TUBB8
Q9BVA1;Q9BUF5;P68371;P07437;P04350;Q13885;Q5JP53;Q3ZCM7,TUBB;TUBB2A;TUBB2B;TUBB4A;TUBB4B;TUBB6;TUBB8
Q9BVA1;Q9BUF5;Q13885;K7ES63,TUBB2A;TUBB2B;TUBB6
Q9BVC3,DSCC1
Q9BVC4;Q9BVC4-5;A0A0A0MR05;H3BSZ4,MLST8
Q9BVC4;Q9BVC4-5;Q9BVC4-3,MLST8
Q9BVC4;Q9BVC4-5;Q9BVC4-3;A0A0A0MR05;H3BSZ4,MLST8
Q9BVC5;Q9BVC5-2;C9J4K0,C2orf49
Q9BVC6,TMEM109
Q9BVG8;Q9BVG8-2;Q9BVG8-6,KIFC3
